u,v,w
강남일미포차,직장인,1
강남일미포차,홀,1
강남일미포차,해산물,1
강남일미포차,호프,1
토니모리강남점,토니모리,1
토니모리강남점,화장품,1
에프샵2,패션,1
에프샵2,구두,1
세븐일레븐양재점,세븐일레븐,1
세븐일레븐양재점,편리함,1
세븐일레븐양재점,간편,1
삼통치킨,직장인,1
삼통치킨,홀,1
삼통치킨,치킨,1
삼통치킨,호프,1
마키노차야역삼점,점심,1
마키노차야역삼점,저녁,1
마키노차야역삼점,가족,1
마키노차야역삼점,단체,1
마키노차야역삼점,고급진,1
마키노차야역삼점,고가,1
마키노차야역삼점,뷔페,1
마키노차야역삼점,다양,1
마키노차야역삼점,유명한,1
마키노차야역삼점,예약,1
마키노차야역삼점,기념일,1
봉피양,국수,1
봉피양,고기집,1
봉피양,직장인,1
봉피양,점심,1
봉피양,저녁,1
봉피양,단체,1
봉피양,고급진,1
봉피양,고가,1
만리성,중식,1
만리성,점심,1
만리성,직장인,1
만리성,편안함,1
만리성,중저가,1
김영모과자점,카페,1
김영모과자점,베이커리,1
김영모과자점,테이크아웃,1
김영모과자점,케잌,1
김영모과자점,빠띠쉐,1
아이제이,구두,1
주식회사비에스케이코퍼레이션,화장품,1
엘투제이뮈렌,점심,1
엘투제이뮈렌,저녁,1
엘투제이뮈렌,직장인,1
엘투제이뮈렌,편안함,1
엘투제이뮈렌,저가,1
엘투제이뮈렌,양식,1
엘투제이뮈렌,숨은,1
엘투제이뮈렌,예약,1
다이타네일예진미인,화장품,1
파리바게뜨,카페,1
파리바게뜨,저가,1
파리바게뜨,베이커리,1
파리바게뜨,케잌,1
매드포갈릭예술의전당점,점심,1
매드포갈릭예술의전당점,저녁,1
매드포갈릭예술의전당점,가족,1
매드포갈릭예술의전당점,연인,1
매드포갈릭예술의전당점,고급진,1
매드포갈릭예술의전당점,고가,1
매드포갈릭예술의전당점,단품,1
매드포갈릭예술의전당점,기념일,1
파스쿠찌,파스쿠찌,1
파스쿠찌,커피,1
연화산,점심,1
연화산,가족,1
연화산,직장인,1
연화산,고급진,1
연화산,단체,1
연화산,중식,1
연화산,고가,1
맥도날드강남점,패스트푸드,1
맥도날드강남점,친구,1
맥도날드강남점,싱글,1
맥도날드강남점,편리함,1
맥도날드강남점,햄버거,1
고향한식부폐,점심,1
고향한식부폐,저가,1
고향한식부폐,직장인,1
고향한식부폐,뷔페,1
고향한식부폐,싱글,1
고향한식부폐,다양,1
고향한식부폐,평일,1
고향한식부폐,편안함,1
고향한식부폐,매일,1
아리따움강남역지하점,아리따움,1
아리따움강남역지하점,화장품,1
뚜레쥬르서초역점,카페,1
뚜레쥬르서초역점,저가,1
뚜레쥬르서초역점,베이커리,1
뚜레쥬르서초역점,케잌,1
(주)거북곱창,고기집,1
(주)거북곱창,유명한,1
(주)거북곱창,고가,1
서초버드나무집,고기집,1
서초버드나무집,고급진,1
서초버드나무집,고가,1
서초버드나무집,연인,1
서초버드나무집,가족,1
서초버드나무집,유명한,1
도미노피자서초점,배달,1
도미노피자서초점,가족,1
도미노피자서초점,편리함,1
도미노피자서초점,양식,1
GS25서초제일점,GS25,1
GS25서초제일점,편리함,1
GS25서초제일점,간편,1
디에이비강남점,패션,1
디에이비강남점,구두,1
교촌치킨역삼1호점,배달,1
교촌치킨역삼1호점,가족,1
교촌치킨역삼1호점,치킨,1
교촌치킨역삼1호점,호프,1
더샘강남역점,더샘,1
더샘강남역점,화장품,1
고종의아침,저녁,1
고종의아침,카페,1
고종의아침,싱글,1
고종의아침,연인,1
고종의아침,친구,1
고종의아침,고급진,1
고종의아침,편안함,1
고종의아침,고가,1
커피빈강남대로점,커피빈,1
커피빈강남대로점,커피,1
커피빈서초우성점,커피빈,1
커피빈서초우성점,커피,1
아웃백양재점,점심,1
아웃백양재점,저녁,1
아웃백양재점,가족,1
아웃백양재점,연인,1
아웃백양재점,단체,1
아웃백양재점,고급진,1
아웃백양재점,고가,1
아웃백양재점,단품,1
아웃백양재점,유명한,1
아웃백양재점,예약,1
아웃백양재점,기념일,1
KFC서초동,패스트푸드,1
KFC서초동,친구,1
KFC서초동,싱글,1
KFC서초동,편리함,1
KFC서초동,햄버거,1
KFC서초동,치킨,1
왕대박감자탕,한식,1
왕대박감자탕,직장인,1
왕대박감자탕,연인,1
왕대박감자탕,친구,1
왕대박감자탕,저가,1
미니스톱강남센터점,미니스톱,1
미니스톱강남센터점,편리함,1
미니스톱강남센터점,간편,1
CJ올리브네트웍스역삼점,올리브영,1
CJ올리브네트웍스역삼점,편리함,1
CJ올리브네트웍스역삼점,간편,1
CJ올리브네트웍스역삼점,화장품,1
미스터피자선릉점,배달,1
미스터피자선릉점,가족,1
미스터피자선릉점,친구,1
미스터피자선릉점,편리함,1
미스터피자선릉점,피자,1
한국아트체인,아트샵,1
한국아트체인,미술,1
한국아트체인,공예품,1
한국아트체인,상설,1
금문도,중식,1
금문도,점심,1
금문도,단체,1
금문도,편안함,1
금문도,중저가,1
황토감자탕,한식,1
황토감자탕,점심,1
황토감자탕,직장인,1
황토감자탕,유명한,1
황토감자탕,저가,1
황토감자탕,싱글,1
도스타코스본점,점심,1
도스타코스본점,저녁,1
도스타코스본점,친구,1
도스타코스본점,연인,1
도스타코스본점,편암함,1
도스타코스본점,저가,1
도스타코스본점,양식,1
도스타코스본점,예약,1
도스타코스본점,유명한,1
두나서점도곡점,서적,1
엔제리너스강남교보타워,엔제리너스,1
엔제리너스강남교보타워,커피,1
(주)툴쿠아즈,점심,1
(주)툴쿠아즈,저녁,1
(주)툴쿠아즈,양식,1
(주)툴쿠아즈,연인,1
(주)툴쿠아즈,중저가,1
(주)툴쿠아즈,숨은,1
파리크라상강남역,카페,1
파리크라상강남역,저가,1
파리크라상강남역,베이커리,1
파리크라상강남역,케잌,1
(주)대한음악사서초지점,음반,1
(주)대한음악사서초지점,악보,1
(주)대한음악사서초지점,도서,1
탐앤탐스서초점,탐앤탐스,1
탐앤탐스서초점,커피,1
빈로이,베트남,1
빈로이,점심,1
빈로이,저녁,1
빈로이,연인,1
빈로이,고급진,1
빈로이,고가,1
빈로이,친절,1
빈로이,유명한,1
주식회사비에스케이코퍼레이션,합리주의,1
다이타네일예진미인,합리주의,1
아이제이,합리주의,1
도미노피자서초점,식도락가,1
에프샵2,식도락가,1
만리성,식도락가,1
미스터피자선릉점,식도락가,1
빈로이,식도락가,1
(주)대한음악사서초지점,식도락가,1
파리크라상강남역,식도락가,1
매드포갈릭예술의전당점,식도락가,1
맥도날드강남점,식도락가,1
김영모과자점,식도락가,1
KFC서초동,식도락가,1
교촌치킨역삼1호점,식도락가,1
아리따움강남역지하점,식도락가,1
(주)거북곱창,식도락가,1
뚜레쥬르서초역점,식도락가,1
강남일미포차,식도락가,1
커피빈서초우성점,식도락가,1
왕대박감자탕,식도락가,1
GS25서초제일점,식도락가,1
엔제리너스강남교보타워,식도락가,1
파스쿠찌,식도락가,1
고종의아침,식도락가,1
디에이비강남점,식도락가,1
황토감자탕,식도락가,1
커피빈강남대로점,식도락가,1
엘투제이뮈렌,식도락가,1
아웃백양재점,식도락가,1
두나서점도곡점,식도락가,1
고향한식부폐,식도락가,1
탐앤탐스서초점,식도락가,1
서초버드나무집,식도락가,1
미니스톱강남센터점,식도락가,1
마키노차야역삼점,식도락가,1
금문도,식도락가,1
봉피양,식도락가,1
도스타코스본점,식도락가,1
삼통치킨,식도락가,1
연화산,식도락가,1
한국아트체인,스타일리쉬,1
(주)툴쿠아즈,스타일리쉬,1
미니스톱강남센터점,스타일리쉬,1
파리바게뜨,스타일리쉬,1
미스터피자선릉점,스타일리쉬,1
KFC서초동,스타일리쉬,1
빈로이,스타일리쉬,1
세븐일레븐양재점,스타일리쉬,1
두나서점도곡점,스타일리쉬,1
(주)거북곱창,스타일리쉬,1
더샘강남역점,스타일리쉬,1
뚜레쥬르서초역점,스타일리쉬,1
삼통치킨,스타일리쉬,1
주식회사비에스케이코퍼레이션,스타일리쉬,1
엔제리너스강남교보타워,스타일리쉬,1
파스쿠찌,스타일리쉬,1
(주)대한음악사서초지점,스타일리쉬,1
디에이비강남점,스타일리쉬,1
한국아트체인,대중적인,1
(주)툴쿠아즈,대중적인,1
다이타네일예진미인,대중적인,1
세븐일레븐양재점,대중적인,1
뚜레쥬르서초역점,대중적인,1
커피빈서초우성점,대중적인,1
주식회사비에스케이코퍼레이션,대중적인,1
파스쿠찌,대중적인,1
디에이비강남점,대중적인,1
도미노피자서초점,사회적인,1
에프샵2,사회적인,1
파리바게뜨,사회적인,1
만리성,사회적인,1
미스터피자선릉점,사회적인,1
빈로이,사회적인,1
세븐일레븐양재점,사회적인,1
파리크라상강남역,사회적인,1
매드포갈릭예술의전당점,사회적인,1
맥도날드강남점,사회적인,1
김영모과자점,사회적인,1
KFC서초동,사회적인,1
교촌치킨역삼1호점,사회적인,1
아리따움강남역지하점,사회적인,1
(주)거북곱창,사회적인,1
뚜레쥬르서초역점,사회적인,1
강남일미포차,사회적인,1
커피빈서초우성점,사회적인,1
왕대박감자탕,사회적인,1
GS25서초제일점,사회적인,1
엔제리너스강남교보타워,사회적인,1
파스쿠찌,사회적인,1
고종의아침,사회적인,1
디에이비강남점,사회적인,1
황토감자탕,사회적인,1
커피빈강남대로점,사회적인,1
엘투제이뮈렌,사회적인,1
아웃백양재점,사회적인,1
두나서점도곡점,사회적인,1
고향한식부폐,사회적인,1
탐앤탐스서초점,사회적인,1
서초버드나무집,사회적인,1
(주)툴쿠아즈,사회적인,1
미니스톱강남센터점,사회적인,1
마키노차야역삼점,사회적인,1
금문도,사회적인,1
봉피양,사회적인,1
도스타코스본점,사회적인,1
삼통치킨,사회적인,1
도미노피자서초점,얼리어댑터,1
파스쿠찌,얼리어댑터,1
(주)툴쿠아즈,얼리어댑터,1
도미노피자서초점,커피홀릭,1
파리바게뜨,커피홀릭,1
미스터피자선릉점,커피홀릭,1
빈로이,커피홀릭,1
(주)대한음악사서초지점,커피홀릭,1
파리크라상강남역,커피홀릭,1
매드포갈릭예술의전당점,커피홀릭,1
맥도날드강남점,커피홀릭,1
KFC서초동,커피홀릭,1
교촌치킨역삼1호점,커피홀릭,1
아리따움강남역지하점,커피홀릭,1
GS25서초제일점,커피홀릭,1
강남일미포차,커피홀릭,1
커피빈서초우성점,커피홀릭,1
왕대박감자탕,커피홀릭,1
토니모리강남점,커피홀릭,1
엔제리너스강남교보타워,커피홀릭,1
파스쿠찌,커피홀릭,1
고종의아침,커피홀릭,1
디에이비강남점,커피홀릭,1
한국아트체인,커피홀릭,1
커피빈강남대로점,커피홀릭,1
엘투제이뮈렌,커피홀릭,1
아웃백양재점,커피홀릭,1
두나서점도곡점,커피홀릭,1
고향한식부폐,커피홀릭,1
더샘강남역점,커피홀릭,1
탐앤탐스서초점,커피홀릭,1
주식회사비에스케이코퍼레이션,커피홀릭,1
미니스톱강남센터점,커피홀릭,1
아이제이,커피홀릭,1
에프샵2,연예인병,1
파리바게뜨,연예인병,1
다이타네일예진미인,연예인병,1
세븐일레븐양재점,연예인병,1
김영모과자점,연예인병,1
KFC서초동,연예인병,1
교촌치킨역삼1호점,연예인병,1
아리따움강남역지하점,연예인병,1
뚜레쥬르서초역점,연예인병,1
커피빈서초우성점,연예인병,1
토니모리강남점,연예인병,1
GS25서초제일점,연예인병,1
파스쿠찌,연예인병,1
디에이비강남점,연예인병,1
한국아트체인,연예인병,1
커피빈강남대로점,연예인병,1
두나서점도곡점,연예인병,1
더샘강남역점,연예인병,1
탐앤탐스서초점,연예인병,1
주식회사비에스케이코퍼레이션,연예인병,1
미니스톱강남센터점,연예인병,1
아이제이,연예인병,1
도미노피자서초점,웰빙족,1
파리바게뜨,웰빙족,1
만리성,웰빙족,1
미스터피자선릉점,웰빙족,1
세븐일레븐양재점,웰빙족,1
파리크라상강남역,웰빙족,1
매드포갈릭예술의전당점,웰빙족,1
김영모과자점,웰빙족,1
KFC서초동,웰빙족,1
교촌치킨역삼1호점,웰빙족,1
(주)거북곱창,웰빙족,1
뚜레쥬르서초역점,웰빙족,1
커피빈서초우성점,웰빙족,1
강남일미포차,웰빙족,1
왕대박감자탕,웰빙족,1
GS25서초제일점,웰빙족,1
엔제리너스강남교보타워,웰빙족,1
파스쿠찌,웰빙족,1
디에이비강남점,웰빙족,1
커피빈강남대로점,웰빙족,1
엘투제이뮈렌,웰빙족,1
아웃백양재점,웰빙족,1
두나서점도곡점,웰빙족,1
탐앤탐스서초점,웰빙족,1
(주)툴쿠아즈,웰빙족,1
마키노차야역삼점,웰빙족,1
금문도,웰빙족,1
봉피양,웰빙족,1
삼통치킨,웰빙족,1
연화산,웰빙족,1
아이제이,패셔너블한,1
에프샵2,패셔너블한,1
